lineage,arm,window_number,timestamp,file,n_user_msgs,total_chars,T1,T2,T3,T5,T6,T7,T9,T10,T11
native-sol6-s9,native,2,2026-09-25T13:53:50.248Z,rollout-2026-09-25T09-24-59-01a0d8bd-9952-7e72-ac71-0910b145bb54.jsonl,27,3382,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s9,native,3,2026-09-25T17:02:59.131Z,rollout-2026-09-25T09-24-59-01a0d8bd-9952-7e72-ac71-0910b145bb54.jsonl,44,6557,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s9,native,4,2026-09-25T17:28:02.314Z,rollout-2026-09-25T09-24-59-01a0d8bd-9952-7e72-ac71-0910b145bb54.jsonl,57,7197,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s1,plugin-lazy,1,2026-09-25T14:44:07.018Z,rollout-2026-09-25T10-26-16-01a0d8f5-b4cd-71f1-96a2-b14bf1b2c76d.jsonl,25,2538,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s1,plugin-lazy,2,2026-09-25T14:50:31.606Z,rollout-2026-09-25T10-26-16-01a0d8f5-b4cd-71f1-96a2-b14bf1b2c76d.jsonl,35,3885,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s1,plugin-lazy,3,2026-09-25T18:55:40.530Z,rollout-2026-09-25T10-26-16-01a0d8f5-b4cd-71f1-96a2-b14bf1b2c76d.jsonl,61,8553,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s10,plugin-lazy,1,2026-09-25T16:17:35.654Z,rollout-2026-09-25T12-01-38-01a0d94d-04b5-7bc0-b062-db29b6a6d65a.jsonl,22,2480,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s10,plugin-lazy,2,2026-09-25T16:28:50.860Z,rollout-2026-09-25T12-01-38-01a0d94d-04b5-7bc0-b062-db29b6a6d65a.jsonl,38,6185,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s2,plugin-lazy,1,2026-09-25T16:28:57.525Z,rollout-2026-09-25T12-11-21-01a0d955-e86f-7421-a5d7-fe80eee91218.jsonl,26,2931,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s2,plugin-lazy,2,2026-09-25T16:36:27.481Z,rollout-2026-09-25T12-11-21-01a0d955-e86f-7421-a5d7-fe80eee91218.jsonl,36,4278,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s3,plugin-lazy,1,2026-09-25T14:41:36.807Z,rollout-2026-09-25T10-27-35-01a0d8f6-e8e9-75c0-b942-ed7c79bd82b3.jsonl,23,2397,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s3,plugin-lazy,2,2026-09-25T14:51:43.551Z,rollout-2026-09-25T10-27-35-01a0d8f6-e8e9-75c0-b942-ed7c79bd82b3.jsonl,32,3351,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s3,plugin-lazy,3,2026-09-25T18:43:51.086Z,rollout-2026-09-25T10-27-35-01a0d8f6-e8e9-75c0-b942-ed7c79bd82b3.jsonl,58,8260,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s3,plugin-lazy,4,2026-09-25T18:53:58.198Z,rollout-2026-09-25T10-27-35-01a0d8f6-e8e9-75c0-b942-ed7c79bd82b3.jsonl,65,8345,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s4,plugin-lazy,1,2026-09-25T16:24:10.506Z,rollout-2026-09-25T12-04-44-01a0d94f-daa1-7ec3-ade8-05afa23def9a.jsonl,28,3187,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s4,plugin-lazy,2,2026-09-25T16:28:06.439Z,rollout-2026-09-25T12-04-44-01a0d94f-daa1-7ec3-ade8-05afa23def9a.jsonl,37,4141,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s5,plugin-lazy,1,2026-09-25T14:37:36.631Z,rollout-2026-09-25T10-23-08-01a0d8f2-d5c8-7f73-bfe0-fc9eb1578c80.jsonl,21,2087,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s5,plugin-lazy,2,2026-09-25T14:48:41.856Z,rollout-2026-09-25T10-23-08-01a0d8f2-d5c8-7f73-bfe0-fc9eb1578c80.jsonl,30,3041,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s5,plugin-lazy,3,2026-09-25T18:40:13.816Z,rollout-2026-09-25T10-23-08-01a0d8f2-d5c8-7f73-bfe0-fc9eb1578c80.jsonl,51,7048,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s5,plugin-lazy,4,2026-09-25T18:56:11.332Z,rollout-2026-09-25T10-23-08-01a0d8f2-d5c8-7f73-bfe0-fc9eb1578c80.jsonl,61,7249,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s6,plugin-lazy,1,2026-09-25T16:14:43.268Z,rollout-2026-09-25T11-59-51-01a0d94b-5ff3-7d22-9d52-b7d834849cac.jsonl,21,2087,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s6,plugin-lazy,2,2026-09-25T16:24:28.312Z,rollout-2026-09-25T11-59-51-01a0d94b-5ff3-7d22-9d52-b7d834849cac.jsonl,30,3041,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s7,plugin-lazy,1,2026-09-25T14:42:14.439Z,rollout-2026-09-25T10-27-59-01a0d8f7-4706-7a21-a70d-5ecefdd5dfdd.jsonl,23,2641,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s7,plugin-lazy,2,2026-09-25T14:51:37.349Z,rollout-2026-09-25T10-27-59-01a0d8f7-4706-7a21-a70d-5ecefdd5dfdd.jsonl,39,6346,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s7,plugin-lazy,3,2026-09-25T18:51:04.226Z,rollout-2026-09-25T10-27-59-01a0d8f7-4706-7a21-a70d-5ecefdd5dfdd.jsonl,68,12939,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s8,plugin-lazy,1,2026-09-25T16:27:55.205Z,rollout-2026-09-25T12-12-29-01a0d956-f42e-7260-9535-39ff555e3dc3.jsonl,23,2397,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s8,plugin-lazy,2,2026-09-25T16:36:34.431Z,rollout-2026-09-25T12-12-29-01a0d956-f42e-7260-9535-39ff555e3dc3.jsonl,33,3744,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s9,plugin-lazy,1,2026-09-25T14:44:34.762Z,rollout-2026-09-25T10-26-07-01a0d8f5-8ff4-7850-8b92-5076381f8bf9.jsonl,26,2769,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s9,plugin-lazy,2,2026-09-25T14:48:05.563Z,rollout-2026-09-25T10-26-07-01a0d8f5-8ff4-7850-8b92-5076381f8bf9.jsonl,35,3723,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s9,plugin-lazy,3,2026-09-25T18:52:09.091Z,rollout-2026-09-25T10-26-07-01a0d8f5-8ff4-7850-8b92-5076381f8bf9.jsonl,62,8512,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-lazy-sol6-s9,plugin-lazy,4,2026-09-25T18:59:18.812Z,rollout-2026-09-25T10-26-07-01a0d8f5-8ff4-7850-8b92-5076381f8bf9.jsonl,67,8324,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s1,plugin,1,2026-09-25T14:13:34.889Z,rollout-2026-09-25T10-01-39-01a0d8df-2d0f-7213-99aa-4ca4c9f90438.jsonl,24,2164,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s1,plugin,2,2026-09-25T14:23:09.036Z,rollout-2026-09-25T10-01-39-01a0d8df-2d0f-7213-99aa-4ca4c9f90438.jsonl,33,3118,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s1,plugin,3,2026-09-25T18:10:27.077Z,rollout-2026-09-25T10-01-39-01a0d8df-2d0f-7213-99aa-4ca4c9f90438.jsonl,59,7776,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s1,plugin,4,2026-09-25T18:22:13.388Z,rollout-2026-09-25T10-01-39-01a0d8df-2d0f-7213-99aa-4ca4c9f90438.jsonl,65,7719,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s10,plugin,1,2026-09-25T15:49:44.446Z,rollout-2026-09-25T11-31-11-01a0d931-225a-7972-bb1e-0b783958927f.jsonl,26,2474,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s10,plugin,2,2026-09-25T15:57:12.483Z,rollout-2026-09-25T11-31-11-01a0d931-225a-7972-bb1e-0b783958927f.jsonl,35,3428,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s2,plugin,1,2026-09-25T15:57:03.983Z,rollout-2026-09-25T11-36-52-01a0d936-5884-7b51-9136-945a3d015ab8.jsonl,25,2325,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s2,plugin,2,2026-09-25T16:05:56.131Z,rollout-2026-09-25T11-36-52-01a0d936-5884-7b51-9136-945a3d015ab8.jsonl,34,3279,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s3,plugin,1,2026-09-25T14:17:43.075Z,rollout-2026-09-25T09-58-08-01a0d8db-f524-73c2-962e-6c6b2ecef728.jsonl,30,3125,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s3,plugin,2,2026-09-25T14:23:49.178Z,rollout-2026-09-25T09-58-08-01a0d8db-f524-73c2-962e-6c6b2ecef728.jsonl,40,4472,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s3,plugin,3,2026-09-25T17:55:55.358Z,rollout-2026-09-25T09-58-08-01a0d8db-f524-73c2-962e-6c6b2ecef728.jsonl,62,8304,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s3,plugin,4,2026-09-25T18:12:19.148Z,rollout-2026-09-25T09-58-08-01a0d8db-f524-73c2-962e-6c6b2ecef728.jsonl,70,8287,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s4,plugin,1,2026-09-25T15:52:20.675Z,rollout-2026-09-25T11-34-32-01a0d934-339c-7241-b075-1001275e100b.jsonl,26,2351,exact,exact,exact,exact,exact,exact,exact,exact,exact
plugin-sol6-s4,plugin,2,2026-09-25T16:01:31.166Z,rollout-2026-09-25T11-34-32-01a0d934-339c-7241-b075-1001275e100b.jsonl,35,3305,exact,exact,exact,exact,exact,exact,exact,exact,exact
