project,lineage,arm,step,ctx_start,turns,tools,inp,cc,cr,out,usd,est
p3,F-s3,F,R1P5,127633,8,7,66,8547,1041990,6740,0.14864875,
p3,F-s3,F,work:WB1,136322,7,6,58,7947,976809,5286,0.13410265000000002,
p3,F-s3,F,R1P6,144338,18,7,68,133622,1062416,6244,0.30455709999999997,
p3,F-s3,F,work:W2-W3+band,155137,21,19,172,17274,3439100,11064,0.4209945,
p3,F-s3,F,COMPACT#2,170935,1,0,0,0,170935,3730,0.0357435,1
p3,F-s3,F,R2P1,45657,3,2,26,23468,116658,1585,0.048951800000000004,
p3,F-s3,F,R2P2,49060,1,0,10,992,48058,920,0.0106558,
p3,F-s3,F,R2P3,50047,10,9,82,11432,550818,7883,0.1088688,
p3,F-s3,F,work:D5-extra,61275,51,48,414,90629,4374079,33828,0.72024815,
p3,F-s3,F,R2P4,111894,6,5,50,7969,689621,6335,0.11064835,
p3,F-s3,F,R2P5,119714,10,9,82,12074,1242712,7704,0.1779657,
p3,F-s3,F,R2P6,132045,1,0,10,770,131265,784,0.018019,
p3,F-s3,F,COMPACT#3,132045,1,0,0,0,132045,2774,0.0270745,1
p3,F-s3,F,R3P1,46840,3,2,26,28163,115918,1851,0.05607655,
p3,F-s3,F,R3P2,49587,1,0,10,773,48804,594,0.008826650000000002,
p3,F-s3,F,R3P3,50253,1,0,10,666,49577,481,0.008205200000000001,
p3,F-s3,F,R3P4,50788,1,0,10,535,50243,435,0.007878050000000001,
p3,F-s3,F,R3P5,51291,7,6,58,7008,379580,5715,0.075351,
p3,F-s3,F,R3P6,58283,3,2,26,1299,174583,761,0.02291305,
p3,F-s4,F,COMPACT#1,,0,0,0,0,0,0,0.0,
p3,F-s4,F,R1P1,50292,22,21,178,51423,1364996,16975,0.28583135,
p3,F-s4,F,R1P2,72791,1,0,10,765,72016,534,0.01083785,
p3,F-s4,F,R1P3,73387,1,0,10,596,72781,1569,0.0158781,
p3,F-s4,F,R1P4,75016,6,4,52,6404,458820,3940,0.073639,
p3,F-s4,F,R1P5,80169,12,11,98,14537,1041100,11371,0.17923425,
p3,F-s4,F,work:WB1,94801,16,15,130,13897,1638965,9735,0.23007275,
p3,F-s4,F,R1P6,0,12,1,18,91886,130054,2921,0.1424859,
p3,F-s4,F,work:W2-W3+band,113010,15,13,124,25991,1847851,14912,0.29195784999999996,
p3,F-s4,F,COMPACT#2,138478,1,0,0,0,138478,3129,0.029492800000000003,1
p3,F-s4,F,R2P1,45855,5,4,42,25258,215220,2926,0.0677665,
p3,F-s4,F,R2P2,51174,1,0,10,1316,49848,1280,0.013039799999999999,
p3,F-s4,F,R2P3,52521,22,21,178,23931,1430649,15043,0.24837165,
p3,F-s4,F,work:D5-extra,76020,38,36,308,87143,3487046,24573,0.5808063500000001,
p3,F-s4,F,R2P4,108448,15,14,122,13581,1731793,8523,0.23289255,
p3,F-s4,F,R2P5,121937,21,20,170,17360,2727665,10965,0.3494615,
p3,F-s4,F,R2P6,139517,10,9,82,5894,1418944,2931,0.1639989,
p3,F-s4,F,COMPACT#3,144579,1,0,0,0,144579,4052,0.0347179,1
p3,F-s4,F,R3P1,46930,1,0,10,26279,20641,670,0.03827285,
p3,F-s4,F,R3P2,47695,1,0,10,765,46920,1260,0.01195825,
p3,F-s4,F,R3P3,49027,1,0,10,1332,47685,754,0.0102135,
p3,F-s4,F,R3P4,49835,1,0,10,808,49017,686,0.009351700000000001,
p3,F-s4,F,R3P5,50589,5,4,42,3739,257696,2102,0.04099535000000001,
p3,F-s4,F,R3P6,53978,3,2,26,1256,161755,807,0.0218065,
p3,F-s5,F,COMPACT#1,,0,0,0,0,0,0,0.0,
p3,F-s5,F,R1P1,50298,26,25,210,55271,1663545,16536,0.31833325,
p3,F-s5,F,R1P2,76528,1,0,10,654,75864,707,0.011948900000000002,
p3,F-s5,F,R1P3,77297,1,0,10,769,76518,649,0.01186805,
p3,F-s5,F,R1P4,78006,10,8,84,8745,814540,4131,0.11312425,
p3,F-s5,F,R1P5,86413,1,0,10,371,86032,523,0.011691950000000001,
p3,F-s5,F,work:WB1,87027,11,10,90,12080,1014873,9011,0.1617323,
p3,F-s5,F,R1P6,0,15,4,42,85169,432934,4518,0.17238665,
p3,F-s5,F,work:W2-W3+band,106477,25,23,204,29158,2986378,15206,0.4113193,
p3,F-s5,F,COMPACT#2,134928,1,0,0,0,134928,2725,0.027117800000000004,1
p3,F-s5,F,R2P1,44250,4,3,34,23583,162587,2853,0.06003645,
p3,F-s5,F,R2P2,49748,1,0,10,1565,48173,933,0.01144855,
p3,F-s5,F,R2P3,50748,1,0,10,1000,49738,976,0.0111138,
p3,F-s5,F,work:D5-extra,51862,65,61,528,86961,5223605,40601,0.83459475,
p3,F-s5,F,R2P4,108359,13,12,106,10734,1458744,7398,0.1963879,
p3,F-s5,F,R2P5,118963,9,8,74,14392,1119890,11260,0.186353,
p3,F-s5,F,R2P6,133398,3,2,26,1804,399979,1642,0.0504889,
p3,F-s5,F,COMPACT#3,134492,1,0,0,0,134492,3863,0.0327642,1
p3,F-s5,F,R3P1,52806,5,4,42,36057,238036,2153,0.07968185000000001,
p3,F-s5,F,R3P2,57452,1,0,10,744,56698,1815,0.0156848,
p3,F-s5,F,R3P3,59436,1,0,10,1984,57442,1018,0.013324200000000001,
p3,F-s5,F,R3P4,60508,1,0,10,1072,59426,586,0.0102226,
p3,F-s5,F,R3P5,61162,1,0,10,654,60498,635,0.0100523,
p3,F-s5,F,R3P6,61880,4,3,34,1970,247773,1097,0.032758800000000005,
p3,N-s1,N,COMPACT#1,,0,0,0,0,0,0,0.0,
p3,N-s1,N,R1P1,49571,49,48,394,74935,3563219,30888,0.6048246500000001,
p3,N-s1,N,R1P2,96256,1,0,10,718,95528,1196,0.0164403,
p3,N-s1,N,R1P3,97514,29,28,234,22759,3192330,14683,0.42133075,
p3,N-s1,N,R1P4,119602,6,5,50,4429,724656,3315,0.09462685000000001,
p3,N-s1,N,R1P5,123924,10,9,82,15285,1287187,10734,0.20157695,
p3,N-s1,N,work:WB1,139500,4,3,34,5618,565450,4959,0.0883965,
p3,N-s1,N,R1P6,0,10,1,18,129881,166231,4206,0.20002235000000002,
p3,N-s1,N,work:W2-W3+band,150890,10,8,84,9852,1558914,8492,0.2107504,
p3,N-s1,N,COMPACT#2,160336,1,0,0,0,160336,3557,0.0338186,1
p3,N-s1,N,R2P1,49420,43,42,346,49128,2741257,13215,0.4019567,
p3,N-s1,N,R2P2,74268,1,0,10,540,73718,1315,0.014631799999999999,
p3,N-s1,N,R2P3,77482,17,11,100,88504,942073,6864,0.23925729999999998,
p3,N-s1,N,work:D5-extra,87927,24,22,196,85146,2241398,14428,0.40290830000000005,
p3,N-s1,N,R2P4,107435,10,9,82,9476,1121291,7143,0.1597711,
p3,N-s1,N,R2P5,116677,5,4,42,6010,591050,3848,0.0858995,
p3,N-s1,N,R2P6,122641,3,2,26,2695,368912,2004,0.05030595,
p3,N-s1,N,COMPACT#3,124741,1,0,0,0,124741,2139,0.023169099999999998,1
p3,N-s1,N,R3P1,41966,1,0,10,21315,20641,742,0.03242785,
p3,N-s1,N,R3P2,42803,10,10,82,6012,449633,3063,0.0678753,
p3,N-s1,N,R3P3,49254,1,0,10,1276,47968,627,0.0095368,
p3,N-s1,N,R3P4,49935,1,0,10,681,49244,412,0.007845650000000001,
p3,N-s1,N,R3P5,50415,10,9,82,6398,531575,3449,0.078482,
p3,N-s1,N,R3P6,56679,3,2,26,808,169918,747,0.0217628,
